mass_A
t	x	y
0.000000000E0	7.919009154E1	-9.226045417E1
3.333333333E-2	7.831071957E1	-9.288100033E1
6.666666667E-2	7.888377594E1	-9.196996850E1
1.000000000E-1	7.769017341E1	-9.200162836E1
1.333333333E-1	7.890752083E1	-9.286517040E1
1.666666667E-1	7.772183327E1	-9.319523089E1
2.000000000E-1	7.889960587E1	-9.256676977E1
2.333333333E-1	7.921383643E1	-9.315565607E1
2.666666667E-1	7.828697467E1	-9.198579843E1
3.000000000E-1	7.656306951E1	-7.202461587E1
3.333333333E-1	7.595124922E1	-3.770062809E1
3.666666667E-1	7.657497430E1	-1.618412265E1
4.000000000E-1	7.759207958E1	1.759490166E0
4.333333333E-1	7.684252597E1	1.876041129E1
4.666666667E-1	7.713855858E1	3.011546528E1
5.000000000E-1	7.694068446E1	3.757548111E1
5.333333333E-1	7.653938929E1	4.144677438E1
5.666666667E-1	7.558086768E1	4.381023455E1
6.000000000E-1	7.591884313E1	4.232614635E1
6.333333333E-1	7.725491503E1	3.698659481E1
6.666666667E-1	7.653384235E1	3.039803598E1
7.000000000E-1	7.621406484E1	1.993818389E1
7.333333333E-1	7.645151378E1	1.098616490E1
7.666666667E-1	7.669687769E1	1.735745272E0
8.000000000E-1	7.581987374E1	-1.023193991E1
8.333333333E-1	7.664620898E1	-1.886972834E1
8.666666667E-1	7.618396211E1	-2.395836904E1
9.000000000E-1	7.656151239E1	-2.693446040E1
9.333333333E-1	7.685199806E1	-2.662814481E1
9.666666667E-1	7.608898253E1	-2.037756144E1
1.000000000E0	7.653539947E1	-1.469211948E1
1.033333333E0	7.458669638E1	-8.771596605E0
1.066666667E0	7.555076494E1	-8.631838528E-2
1.100000000E0	7.580577016E1	7.344884233E0
1.133333333E0	7.626573777E1	1.253704501E1
1.166666667E0	7.618388591E1	1.562292719E1
1.200000000E0	7.633016743E1	1.761909968E1
1.233333333E0	7.652397583E1	1.782346961E1
1.266666667E0	7.625438629E1	1.672055802E1
1.300000000E0	7.622085127E1	1.422930298E1
1.333333333E0	7.632646658E1	1.024751953E1
1.366666667E0	7.615457119E1	5.461458243E0
1.400000000E0	7.648831988E1	3.899651116E-1
1.433333333E0	7.571387621E1	-4.212849299E0
1.466666667E0	7.601065954E1	-7.890718223E0
1.500000000E0	7.578859688E1	-1.078543237E1
1.533333333E0	7.631800441E1	-1.196676549E1
1.566666667E0	7.591982606E1	-1.197732702E1
1.600000000E0	7.628631981E1	-1.077223046E1
1.633333333E0	7.612868681E1	-8.584889944E0
1.666666667E0	7.637187253E1	-6.486532486E0
1.700000000E0	7.588656155E1	-3.212122671E0
1.733333333E0	7.590425428E1	-1.236001158E-1
1.766666667E0	7.602941273E1	2.668929064E0
1.800000000E0	7.595020125E1	5.655266650E0
1.833333333E0	7.602334201E1	6.653352895E0
1.866666667E0	7.639511653E1	7.659360288E0
1.900000000E0	7.631405462E1	6.959907802E0
1.933333333E0	7.554146137E1	6.042883464E0
1.966666667E0	7.587442011E1	4.756724992E0
2.000000000E0	7.641438916E1	3.177213526E0
2.033333333E0	7.626018650E1	1.479674795E0
2.066666667E0	7.611390498E1	-5.164976952E-1
2.100000000E0	7.615615110E1	-2.109211075E0
2.133333333E0	7.588392117E1	-3.112578085E0
2.166666667E0	7.590240385E1	-3.809390189E0
2.200000000E0	7.623008182E1	-4.896459489E0
2.233333333E0	7.623800297E1	-5.195093247E0
2.266666667E0	7.620631837E1	-4.000558213E0
2.300000000E0	7.579493812E1	-3.513396813E0
2.333333333E0	7.564522626E1	-1.624690057E0
2.366666667E0	7.592273696E1	-8.204122193E-1
2.400000000E0	7.599587771E1	1.776740255E-1
2.433333333E0	7.617648421E1	8.797668945E-1
2.468333333E0	7.626018650E1	1.479674795E0
2.501666667E0	7.635180994E1	1.780948936E0
2.535000000E0	7.564971707E1	1.961555429E0
2.568333333E0	7.596683350E1	1.272664474E0
2.601666667E0	7.598003542E1	7.749415428E-1
2.635000000E0	7.558977822E1	4.657462533E-1
2.668333333E0	7.559505899E1	2.666570809E-1
2.701666667E0	7.510525720E1	-4.517859142E-2
2.735000000E0	7.511317835E1	-3.438123501E-1
2.768333333E0	7.531226752E1	-3.385315846E-1
2.801666667E0	7.541181211E1	-3.358912019E-1
2.835000000E0	7.580470969E1	-1.262404986E-1
2.868333333E0	7.571836702E1	-6.266038124E-1
2.901666667E0	7.611390498E1	-5.164976952E-1
2.935000000E0	7.601436039E1	-5.191380780E-1
